species,run,treatment,treatment_n,treatment_g,sed_load_mgcm2,replicate,total_larvae,Binary,raw_prop
Cnat,1,control,0,0,0,1,15,1,0.1
Cnat,1,control,0,0,0,2,15,0,0
Cnat,1,control,0,0,0,3,15,1,0.5
Cnat,1,control,0,0,0,4,15,1,0.6
Cnat,1,control,0,0,0,5,15,0,0
Cnat,1,sprinkle,0.1,0.2,10,1,15,0,0
Cnat,1,sprinkle,0.1,0.2,10,2,15,1,0.1
Cnat,1,sprinkle,0.1,0.2,10,3,15,1,0.1
Cnat,1,sprinkle,0.1,0.2,10,4,15,0,0
Cnat,1,sprinkle,0.1,0.2,10,5,15,0,0
Cnat,1,2 mm,2,2.2,150,1,15,0,0
Cnat,1,2 mm,2,2.2,150,2,15,0,0
Cnat,1,2 mm,2,2.2,150,3,15,0,0
Cnat,1,2 mm,2,2.2,150,4,15,0,0
Cnat,1,2 mm,2,2.2,150,5,15,0,0
Cnat,1,4 mm,4,4.3,300,1,15,0,0
Cnat,1,4 mm,4,4.3,300,2,15,0,0
Cnat,1,4 mm,4,4.3,300,3,15,0,0
Cnat,1,4 mm,4,4.3,300,4,15,0,0
Cnat,1,4 mm,4,4.3,300,5,15,0,0
Cnat,2,control,0,0,0,1,15,1,0.4
Cnat,2,control,0,0,0,2,15,0,0
Cnat,2,control,0,0,0,3,15,1,0.4
Cnat,2,control,0,0,0,4,15,1,0.2
Cnat,2,control,0,0,0,5,15,1,0.5
Cnat,2,sprinkle,0.1,0.2,10,1,15,0,0
Cnat,2,sprinkle,0.1,0.2,10,2,15,0,0
Cnat,2,sprinkle,0.1,0.2,10,3,15,1,0.1
Cnat,2,sprinkle,0.1,0.2,10,4,15,0,0
Cnat,2,sprinkle,0.1,0.2,10,5,15,0,0
Cnat,2,2 mm,2,2.2,150,1,15,0,0
Cnat,2,2 mm,2,2.2,150,2,15,0,0
Cnat,2,2 mm,2,2.2,150,3,15,0,0
Cnat,2,2 mm,2,2.2,150,4,15,0,0
Cnat,2,2 mm,2,2.2,150,5,15,0,0
Cnat,2,4 mm,4,4.3,300,1,15,0,0
Cnat,2,4 mm,4,4.3,300,2,15,0,0
Cnat,2,4 mm,4,4.3,300,3,15,0,0
Cnat,2,4 mm,4,4.3,300,4,15,0,0
Cnat,2,4 mm,4,4.3,300,5,15,0,0
Cnat,3,control,0,0,0,1,15,1,0.3
Cnat,3,control,0,0,0,2,15,1,0.2
Cnat,3,control,0,0,0,3,15,1,0.1
Cnat,3,control,0,0,0,4,15,1,0.9
Cnat,3,control,0,0,0,5,15,1,0.3
Cnat,3,sprinkle,0.1,0.2,10,1,15,0,0
Cnat,3,sprinkle,0.1,0.2,10,2,15,0,0
Cnat,3,sprinkle,0.1,0.2,10,3,15,0,0
Cnat,3,sprinkle,0.1,0.2,10,4,15,1,0.2
Cnat,3,sprinkle,0.1,0.2,10,5,15,0,0
Cnat,3,2 mm,2,2.2,150,1,15,0,0
Cnat,3,2 mm,2,2.2,150,2,15,0,0
Cnat,3,2 mm,2,2.2,150,3,15,0,0
Cnat,3,2 mm,2,2.2,150,4,15,0,0
Cnat,3,2 mm,2,2.2,150,5,15,0,0
Cnat,3,4 mm,4,4.3,300,1,15,0,0
Cnat,3,4 mm,4,4.3,300,2,15,0,0
Cnat,3,4 mm,4,4.3,300,3,15,0,0
Cnat,3,4 mm,4,4.3,300,4,15,0,0
Cnat,3,4 mm,4,4.3,300,5,15,0,0
Ofav,1,control,0,0,0,1,20,1,0.1
Ofav,1,control,0,0,0,2,20,1,0.1
Ofav,1,control,0,0,0,3,20,0,0
Ofav,1,control,0,0,0,4,20,1,0.3
