Season,Site,Plot,Sed_size,Weight_g,Total,Prop,Total_replicate,Prop_replicate
Summer,Ft Lauderdale,1,≥500 µm,0.4379,58.8379,0.00744,,
Summer,Ft Lauderdale,1,250-499 µm,0.3486,58.8379,0.00592,,
Summer,Ft Lauderdale,1,125-249 µm,0.9997,58.8379,0.01699,,
Summer,Ft Lauderdale,1,<125 µm,0.2826,58.8379,0.0048,,
Summer,Ft Lauderdale,2,≥500 µm,0.2823,58.8379,0.0048,,
Summer,Ft Lauderdale,2,250-499 µm,0.193,58.8379,0.00328,,
Summer,Ft Lauderdale,2,125-249 µm,0.6824,58.8379,0.0116,,
Summer,Ft Lauderdale,2,<125 µm,0.161,58.8379,0.00274,,
Summer,Ft Lauderdale,4,≥500 µm,0.2794,58.8379,0.00475,,
Summer,Ft Lauderdale,4,250-499 µm,0.1901,58.8379,0.00323,,
Summer,Ft Lauderdale,4,125-249 µm,0.672,58.8379,0.01142,,
Summer,Ft Lauderdale,4,<125 µm,0.2156,58.8379,0.00366,,
Summer,Ft Lauderdale,6,≥500 µm,0.2608,58.8379,0.00443,,
Summer,Ft Lauderdale,6,250-499 µm,0.1715,58.8379,0.00291,,
Summer,Ft Lauderdale,6,125-249 µm,0.5612,58.8379,0.00954,,
Summer,Ft Lauderdale,6,<125 µm,0.1527,58.8379,0.0026,,
Summer,Ft Lauderdale,8,≥500 µm,0.0918,58.8379,0.00156,,
Summer,Ft Lauderdale,8,250-499 µm,0.2078,58.8379,0.00353,,
Summer,Ft Lauderdale,8,125-249 µm,0.7527,58.8379,0.01279,,
Summer,Ft Lauderdale,8,<125 µm,0.2541,58.8379,0.00432,,
Summer,Ft Lauderdale,10,≥500 µm,0.2444,58.8379,0.00415,,
Summer,Ft Lauderdale,10,250-499 µm,0.4384,58.8379,0.00745,,
Summer,Ft Lauderdale,10,125-249 µm,1.0326,58.8379,0.01755,,
Summer,Ft Lauderdale,10,<125 µm,0.2971,58.8379,0.00505,,
Summer,Ft Lauderdale,12,≥500 µm,0.2917,58.8379,0.00496,,
Summer,Ft Lauderdale,12,250-499 µm,0.8418,58.8379,0.01431,,
Summer,Ft Lauderdale,12,125-249 µm,1.9304,58.8379,0.03281,,
Summer,Ft Lauderdale,12,<125 µm,0.4691,58.8379,0.00797,,
Summer,Ft Lauderdale,14,≥500 µm,0.3139,58.8379,0.00533,,
Summer,Ft Lauderdale,14,250-499 µm,0.5693,58.8379,0.00968,,
Summer,Ft Lauderdale,14,125-249 µm,1.8243,58.8379,0.03101,,
Summer,Ft Lauderdale,14,<125 µm,0.6175,58.8379,0.01049,,
Summer,Ft Lauderdale,16,≥500 µm,0.2382,58.8379,0.00405,,
Summer,Ft Lauderdale,16,250-499 µm,0.3919,58.8379,0.00666,,
Summer,Ft Lauderdale,16,125-249 µm,1.6095,58.8379,0.02735,,
Summer,Ft Lauderdale,16,<125 µm,0.7346,58.8379,0.01249,,
Summer,Ft Lauderdale,18,≥500 µm,0.1012,58.8379,0.00172,,
Summer,Ft Lauderdale,18,250-499 µm,0.3134,58.8379,0.00533,,
Summer,Ft Lauderdale,18,125-249 µm,1.2552,58.8379,0.02133,,
Summer,Ft Lauderdale,18,<125 µm,0.6759,58.8379,0.01149,,
Summer,Ft Lauderdale,20,≥500 µm,0.2009,58.8379,0.00341,,
Summer,Ft Lauderdale,20,250-499 µm,0.4584,58.8379,0.00779,,
Summer,Ft Lauderdale,20,125-249 µm,1.651,58.8379,0.02806,,
Summer,Ft Lauderdale,20,<125 µm,0.5657,58.8379,0.00961,,
Summer,Ft Lauderdale,22,≥500 µm,0.0727,58.8379,0.00124,,
Summer,Ft Lauderdale,22,250-499 µm,0.2193,58.8379,0.00373,,
Summer,Ft Lauderdale,22,125-249 µm,1.0277,58.8379,0.01747,,
Summer,Ft Lauderdale,22,<125 µm,0.4257,58.8379,0.00724,,
Summer,Ft Lauderdale,24,≥500 µm,0.263,58.8379,0.00447,,
Summer,Ft Lauderdale,24,250-499 µm,0.5872,58.8379,0.00998,,
Summer,Ft Lauderdale,24,125-249 µm,1.6431,58.8379,0.02793,,
Summer,Ft Lauderdale,24,<125 µm,0.5641,58.8379,0.00959,,
Summer,Dania Beach,2,≥500 µm,1.4193,127.5844,0.01112,,
Summer,Dania Beach,2,250-499 µm,4.7858,127.5844,0.03751,,
Summer,Dania Beach,2,125-249 µm,2.6446,127.5844,0.02073,,
Summer,Dania Beach,2,<125 µm,0.3924,127.5844,0.00308,,
Summer,Dania Beach,4,≥500 µm,1.6825,127.5844,0.01319,,
Summer,Dania Beach,4,250-499 µm,3.4008,127.5844,0.02666,,
Summer,Dania Beach,4,125-249 µm,1.735,127.5844,0.0136,,
Summer,Dania Beach,4,<125 µm,0.2093,127.5844,0.00164,,
Summer,Dania Beach,6,≥500 µm,1.3728,127.5844,0.01076,,
Summer,Dania Beach,6,250-499 µm,4.9092,127.5844,0.03848,,
Summer,Dania Beach,6,125-249 µm,2.8068,127.5844,0.022,,
Summer,Dania Beach,6,<125 µm,0.3389,127.5844,0.00266,,
Summer,Dania Beach,8,≥500 µm,0.3427,127.5844,0.00269,,
Summer,Dania Beach,8,250-499 µm,2.4779,127.5844,0.01942,,
Summer,Dania Beach,8,125-249 µm,2.7242,127.5844,0.02135,,
Summer,Dania Beach,8,<125 µm,0.4648,127.5844,0.00364,,
Summer,Dania Beach,10,≥500 µm,0.1724,127.5844,0.00135,,
Summer,Dania Beach,10,250-499 µm,1.0537,127.5844,0.00826,,
Summer,Dania Beach,10,125-249 µm,0.9884,127.5844,0.00775,,
Summer,Dania Beach,10,<125 µm,0.155,127.5844,0.00121,,
Summer,Dania Beach,12,≥500 µm,0.4955,127.5844,0.00388,,
Summer,Dania Beach,12,250-499 µm,2.8463,127.5844,0.02231,,
Summer,Dania Beach,12,125-249 µm,2.4516,127.5844,0.01922,,
Summer,Dania Beach,12,<125 µm,0.3589,127.5844,0.00281,,
Summer,Dania Beach,13,≥500 µm,0.4899,127.5844,0.00384,,
Summer,Dania Beach,13,250-499 µm,3.5698,127.5844,0.02798,,
Summer,Dania Beach,13,125-249 µm,2.7194,127.5844,0.02131,,
Summer,Dania Beach,13,<125 µm,0.5428,127.5844,0.00425,,
Summer,Dania Beach,14,≥500 µm,0.2919,127.5844,0.00229,,
Summer,Dania Beach,14,250-499 µm,2.0453,127.5844,0.01603,,
