Season,Site,Month,Day,Year,Plot,Sed_depth_mm,Turf_length_mm,Sediment_w
Summer,Ft Lauderdale,May,10,2023,1,2,3,1.9254
Summer,Ft Lauderdale,May,10,2023,2,2,3,1.1058
Summer,Ft Lauderdale,May,10,2023,4,3,6,1.1568
Summer,Ft Lauderdale,May,10,2023,6,2,2,0.9342
Summer,Ft Lauderdale,May,10,2023,8,2,4,1.3477
Summer,Ft Lauderdale,May,10,2023,10,3,3,2.056
Summer,Ft Lauderdale,May,10,2023,12,3,4,3.6089
Summer,Ft Lauderdale,May,10,2023,14,3,3,3.4066
Summer,Ft Lauderdale,May,10,2023,16,3,5,3.066
Summer,Ft Lauderdale,May,10,2023,18,3,4,2.3814
Summer,Ft Lauderdale,May,10,2023,20,3,5,2.9475
Summer,Ft Lauderdale,May,10,2023,22,1,2,1.7541
Summer,Ft Lauderdale,May,10,2023,24,3,5,3.1306
Summer,Dania Beach,May,9,2023,2,3,8,9.4282
Summer,Dania Beach,May,9,2023,4,5,7,7.2388
Summer,Dania Beach,May,9,2023,6,5,8,9.6437
Summer,Dania Beach,May,9,2023,8,3,5,6.0448
Summer,Dania Beach,May,9,2023,10,2,4,2.3337
Summer,Dania Beach,May,9,2023,12,3,5,6.3
Summer,Dania Beach,May,9,2023,13,4,7,7.3525
Summer,Dania Beach,May,9,2023,14,3,5,4.3701
Summer,Dania Beach,May,9,2023,15,4,7,6.33
Summer,Dania Beach,May,9,2023,16,3,6,4.5846
Summer,Dania Beach,May,9,2023,17,1,3,2.1446
Summer,Dania Beach,May,9,2023,18,1,3,2.6589
Summer,Dania Beach,May,9,2023,19,3,5,4.4757
Summer,Dania Beach,May,9,2023,20,4,6,5.1504
Summer,Dania Beach,May,9,2023,21,2,3,2.5127
Summer,Dania Beach,May,9,2023,22,4,6,6.0457
Summer,Dania Beach,May,9,2023,23,3,6,4.5826
Summer,Dania Beach,May,9,2023,24,3,4,1.8996
Summer,Dania Beach,May,9,2023,25,3,5,5.1839
Summer,Emerald Reef,May,16,2023,1,2,2,3.8557
Summer,Emerald Reef,May,16,2023,2,3,4,5.7556
Summer,Emerald Reef,May,16,2023,3,4,7,10.6436
Summer,Emerald Reef,May,16,2023,4,3,4,6.8127
Summer,Emerald Reef,May,16,2023,5,2,2,3.3067
Summer,Emerald Reef,May,16,2023,6,1,2,1.6317
Summer,Emerald Reef,May,16,2023,7,3,4,5.7557
Summer,Emerald Reef,May,16,2023,8,3,4,6.3124
Summer,Emerald Reef,May,16,2023,9,3,5,6.0743
Summer,Emerald Reef,May,16,2023,10,3,3,4.7411
Summer,Emerald Reef,May,16,2023,11,1,3,1.9324
Summer,Emerald Reef,May,16,2023,12,4,6,6.7588
Summer,Emerald Reef,May,16,2023,13,4,5,4.6999
Summer,Emerald Reef,May,16,2023,14,5,8,2.4572
Summer,Emerald Reef,May,16,2023,15,3,4,8.5501
Summer,Emerald Reef,May,16,2023,16,3,4,5.5371
Summer,Emerald Reef,May,16,2023,17,3,5,6.095
Summer,Emerald Reef,May,16,2023,18,2,4,4.0506
Summer,Emerald Reef,May,16,2023,19,3,4,2.9624
Summer,Emerald Reef,May,16,2023,20,3,5,6.2239
Summer,Emerald Reef,May,16,2023,21,2,3,5.6477
Summer,Emerald Reef,May,16,2023,22,2,2,2.978
Summer,Carysfort Reef,May,25,2023,18,3,5,1.6548
Summer,Carysfort Reef,May,25,2023,19,1,2,0.8326
Summer,Carysfort Reef,May,25,2023,20,3,4,2.9982
Summer,Carysfort Reef,May,25,2023,21,2,2,1.1553
Summer,Carysfort Reef,May,25,2023,22,2,3,2.3967
