Size_cm,Species,Genotype,Treatment,Treatment_n,Day,Replicate,Status,Status_bi,Notes
1,Ofav,B,2mm,2,1,1,alive,0,<1mm max height of coral sticking above sediment on day 0
1.5,Ofav,B,4mm,4,1,1,alive,0,
2,Ofav,B,control,0,1,1,alive,0,
1.5,Ofav,B,2mm,2,1,2,alive,0,
2,Ofav,B,4mm,4,1,2,alive,0,2mm max height of coral sticking above sediment on day 0
1,Ofav,B,control,0,1,2,alive,0,
1,Ofav,A,4mm,4,1,3,alive,0,
1.5,Ofav,A,control,0,1,3,alive,0,
2,Ofav,A,2mm,2,1,3,alive,0,
2,Ofav,F,control,0,1,4,alive,0,
1,Ofav,F,2mm,2,1,4,alive,0,pale
1.5,Ofav,F,4mm,4,1,4,alive,0,
2,Ofav,F,4mm,4,1,5,alive,0,
1,Ofav,F,control,0,1,5,alive,0,pale
1.5,Ofav,F,2mm,2,1,5,alive,0,
1.5,Ofav,A,control,0,1,6,alive,0,
2,Ofav,A,2mm,2,1,6,alive,0,"Double check, pictures might be missing"
1,Ofav,A,4mm,4,1,6,alive,0,
1,Ofav,E,2mm,2,1,7,alive,0,
1.5,Ofav,E,4mm,4,1,7,alive,0,Pale around edges
2,Ofav,E,control,0,1,7,alive,0,
1.5,Ofav,E,2mm,2,1,8,alive,0,<1mm max height of coral sticking above sediment on day 0
2,Ofav,E,4mm,4,1,8,alive,0,
1,Ofav,E,control,0,1,8,alive,0,
1,Ofav,F,4mm,4,1,9,alive,0,
1.5,Ofav,F,control,0,1,9,alive,0,pale on lower edge
2,Ofav,F,2mm,2,1,9,alive,0,
2,Ofav,B,control,0,1,10,alive,0,
1,Ofav,B,2mm,2,1,10,alive,0,
1.5,Ofav,B,4mm,4,1,10,alive,0,
2,Ofav,C,4mm,4,1,11,alive,0,
1,Ofav,C,control,0,1,11,alive,0,
1.5,Ofav,C,2mm,2,1,11,alive,0,pale from one extremity
1.5,Ofav,D,control,0,1,12,alive,0,
2,Ofav,D,2mm,2,1,12,alive,0,pale blotches in the center
1,Ofav,D,4mm,4,1,12,alive,0,pale blotches in the center
2,Ofav,F,4mm,4,2,1,alive,0,"barely alive, polyps extremely receded, mostly pale"
1,Ofav,F,control,0,2,1,alive,0,pale
1.5,Ofav,F,2mm,2,2,1,alive,0,partial mortality (~80%)
2,Ofav,A,2mm,2,2,2,alive,0,
1,Ofav,A,4mm,4,2,2,alive,0,pale
1.5,Ofav,A,control,0,2,2,alive,0,
2,Ofav,B,control,0,2,3,alive,0,
1,Ofav,B,2mm,2,2,3,alive,0,
