Season,Site,Month,Day,Year,Plot,LSAT_Sediment_depth_mm,LSAT_%,Total_Juvenile_Coral,Total_Juvenile_nSSID,Presence_juv_corals_nSSID,Presence_juv_corals,Siderastrea_Juv,Porites_Juv,Montastrea_Juv,Diploria_Juv,Agaricia_Juv,Favia_Juv
Summer,Ft Lauderdale,May,10,2023,1,1,40,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,2,1,25,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,3,1,5,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,4,2,45,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,5,1,40,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,6,2,25,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,7,2,50,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,8,1,35,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,9,1,50,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,10,3,40,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,11,2,25,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,12,1,10,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,13,2,50,1,0,0,1,1,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,14,1,50,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,15,1,45,1,1,1,1,0,1,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,16,1,25,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,17,1,45,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,18,2,45,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,19,2,35,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,20,1,40,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,21,3,35,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,22,2,55,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,23,2,40,0,0,0,0,0,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,24,1,30,1,0,0,1,1,0,0,0,0,0
Summer,Ft Lauderdale,May,10,2023,25,1,35,1,0,0,1,1,0,0,0,0,0
Summer,Dania Beach,May,9,2023,1,2,55,1,0,0,1,1,0,0,0,0,0
Summer,Dania Beach,May,9,2023,2,2,25,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,3,3,85,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,4,1,65,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,5,3,30,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,6,2,50,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,7,2,90,1,0,0,1,1,0,0,0,0,0
Summer,Dania Beach,May,9,2023,8,3,50,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,9,1,90,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,10,2,45,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,11,3,2,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,12,2,50,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,13,2,75,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,14,2,60,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,15,1,50,1,1,1,1,0,1,0,0,0,0
Summer,Dania Beach,May,9,2023,16,2,15,1,0,0,1,1,0,0,0,0,0
Summer,Dania Beach,May,9,2023,17,1,40,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,18,3,35,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,19,2,20,1,1,1,1,0,0,1,0,0,0
Summer,Dania Beach,May,9,2023,20,3,35,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,21,1,40,1,1,1,1,0,1,0,0,0,0
Summer,Dania Beach,May,9,2023,22,2,50,0,0,0,0,0,0,0,0,0,0
Summer,Dania Beach,May,9,2023,23,1,50,1,1,1,1,0,0,1,0,0,0
Summer,Dania Beach,May,9,2023,24,1,20,1,1,1,1,0,0,0,1,0,0
Summer,Dania Beach,May,9,2023,25,1,30,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,1,2,40,1,1,1,1,0,1,0,0,0,0
Summer,South Canyon,May,3,2023,2,2,30,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,3,1,70,1,1,1,1,0,0,1,0,0,0
Summer,South Canyon,May,3,2023,4,1,4,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,5,3,50,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,6,2,70,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,7,2,40,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,8,1,25,1,0,0,1,1,0,0,0,0,0
Summer,South Canyon,May,3,2023,9,2,35,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,10,1,55,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,11,1,30,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,12,2,25,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,13,1,45,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,14,0,55,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,3,2023,15,2,40,3,0,0,1,3,0,0,0,0,0
Summer,South Canyon,May,11,2023,16,1,20,1,1,1,1,0,1,0,0,0,0
Summer,South Canyon,May,11,2023,17,3,30,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,11,2023,18,3,25,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,11,2023,19,1,20,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,11,2023,20,0,30,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,11,2023,21,1,30,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,11,2023,22,0.5,40,0,0,0,0,0,0,0,0,0,0
Summer,South Canyon,May,11,2023,23,1,5,1,0,0,1,1,0,0,0,0,0
Summer,South Canyon,May,11,2023,24,0.5,1,2,0,0,1,2,0,0,0,0,0
Summer,South Canyon,May,11,2023,25,2,40,1,0,0,1,1,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,1,2,60,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,2,1,40,1,1,1,1,0,1,0,0,0,0
Summer,Emerald Reef,May,16,2023,3,2,70,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,4,3,50,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,5,3,40,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,6,2,0,1,0,0,1,1,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,7,2,15,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,8,2,1,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,9,1,30,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,10,1,20,1,0,0,1,1,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,11,2,20,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,12,2,35,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,13,2,35,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,14,2,40,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,15,2,25,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,16,3,30,2,2,1,1,0,0,0,1,0,1
Summer,Emerald Reef,May,16,2023,17,2,10,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,18,3,30,1,0,0,1,1,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,19,3,15,1,0,0,1,1,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,20,3,35,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,21,3,30,1,1,1,1,0,1,0,0,0,0
Summer,Emerald Reef,May,16,2023,22,2,60,4,0,0,1,4,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,23,2,35,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,24,3,20,0,0,0,0,0,0,0,0,0,0
Summer,Emerald Reef,May,16,2023,25,2,30,1,0,0,1,1,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,1,3,75,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,2,1,55,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,3,2,60,5,0,0,1,5,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,4,1,35,1,1,1,1,0,1,0,0,0,0
Summer,Carysfort Reef,May,24,2023,5,1,45,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,6,2,45,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,7,1,50,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,24,2023,8,1,45,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,9,2,40,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,10,1,10,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,11,1,50,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,12,1,40,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,13,1,40,1,0,0,1,1,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,14,2,55,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,15,1,20,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,16,2,50,1,0,0,1,1,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,17,1,35,3,1,1,1,2,1,0,0,0,0
Summer,Carysfort Reef,May,25,2023,18,3,60,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,19,3,65,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,20,2,60,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,21,3,50,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,22,2,5,1,1,1,1,0,0,0,0,1,0
Summer,Carysfort Reef,May,25,2023,23,3,50,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,24,3,40,0,0,0,0,0,0,0,0,0,0
Summer,Carysfort Reef,May,25,2023,25,3,75,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,25,2023,1,1,65,1,0,0,1,1,0,0,0,0,0
Summer,Conch Reef,May,25,2023,2,2,85,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,25,2023,3,2,70,1,0,0,1,1,0,0,0,0,0
Summer,Conch Reef,May,25,2023,4,2,55,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,25,2023,5,2,50,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,25,2023,6,2,40,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,26,2023,7,5,85,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,26,2023,8,4,70,0,0,0,0,0,0,0,0,0,0
Summer,Conch Reef,May,26,2023,9,6,60,0,0,0,0,0,0,0,0,0,0
