Age,Species,Day,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
1 month,Pstr,1,1,control,dead,0,1,0.0,0.0,
1 month,Pstr,1,1,2mm,dead,0,1,0.0,0.0,
1 month,Pstr,1,1,4mm,dead,0,1,0.0,0.0,
1 month,Pstr,1,2,control,dead,0,3,0.0,0.0,
1 month,Pstr,1,2,2mm,dead,0,2,0.0,0.0,
1 month,Pstr,1,2,4mm,dead,0,2,0.0,0.0,
1 month,Pstr,1,3,control,dead,0,2,0.0,0.0,
1 month,Pstr,1,3,2mm,dead,0,3,0.0,0.0,receding w/ exposed skeleton
1 month,Pstr,1,3,4mm,dead,1,3,0.3,0.0,
1 month,Pstr,1,4,control,dead,0,9,0.0,0.0,
1 month,Pstr,1,4,2mm,dead,0,5,0.0,0.0,
1 month,Pstr,1,4,4mm,dead,0,7,0.0,0.0,all look tightly pulled in + not happy
1 month,Ofav,1,1,control,dead,0,1,0.0,0.0,
1 month,Ofav,1,1,2mm,dead,0,2,0.0,0.0,
1 month,Ofav,1,1,4mm,dead,0,1,0.0,0.0,alive but extremely retracted
1 month,Ofav,1,2,control,dead,0,4,0.0,0.0,
1 month,Ofav,1,2,2mm,dead,0,3,0.0,0.0,the 3rd dying still (was Day 0)
1 month,Ofav,1,2,4mm,dead,0,4,0.0,0.0,one extremely pulled in
1 month,Ofav,1,3,control,dead,0,122,0.0,0.0,
1 month,Ofav,1,3,2mm,dead,0,64,0.0,0.0,one appears to be dying
1 month,Ofav,1,3,4mm,dead,0,171,0.0,0.0,about half are retracted
1 month,Ofav,1,4,control,dead,0,173,0.0,0.0,all polyps out and happy
1 month,Ofav,1,4,2mm,dead,0,181,0.0,0.0,about half are extremely retracted
1 month,Ofav,1,4,4mm,dead,0,252,0.0,0.0,about half are extremely retracted
1 month,Cnat,1,1,control,dead,0,1,0.0,0.0,
1 month,Cnat,1,1,2mm,dead,0,1,0.0,0.0,
1 month,Cnat,1,1,4mm,dead,1,1,1.0,1.0,"tissue left, but pretty sure dead (extremely small)"
1 month,Cnat,1,2,control,dead,0,8,0.0,0.0,three extremely retracted
1 month,Cnat,1,2,2mm,dead,0,2,0.0,0.0,
1 month,Cnat,1,2,4mm,dead,0,2,0.0,0.0,both extremely retracted
1 month,Cnat,1,3,control,dead,0,3,0.0,0.0,all extremely retracted
1 month,Cnat,1,3,2mm,dead,0,7,0.0,0.0,
1 month,Cnat,1,3,4mm,dead,0,2,0.0,0.0,
