Age,Species,Day,SurveyDay,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
3 month,Acer,1,1,1,2mm,dead,0,1,0,0,"alive, no zoox"
3 month,Acer,1,1,1,4mm,dead,1,1,1,1,dying/tissue melting
3 month,Acer,1,1,1,control,dead,0,1,0,0,"alive, no zoox"
3 month,Acer,1,1,2,2mm,dead,0,3,0,0,"alive, no zoox"
3 month,Acer,1,1,2,4mm,dead,0,2,0,0,"1 dying/tissue melting, alive look unhealthy, no zoox"
3 month,Acer,1,1,2,control,dead,0,2,0,0,"unhealthy, one still healthy"
3 month,Acer,1,1,3,control,dead,0,1,0,0,"alive, w/ zoox, some tissue regression"
3 month,Acer,1,1,3,2mm,dead,1,2,0.5,1,"alive has zoox, w/ some tissue regression at the top"
3 month,Acer,1,1,3,4mm,dead,2,2,1,1,
3 month,Acer,1,1,4,4mm,dead,2,2,1,1,
3 month,Acer,1,1,4,control,dead,1,6,0.2,0,"alive have zoox, but skeleton sticking out of tissue"
3 month,Acer,1,1,4,2mm,dead,2,2,1,1,"dying, one w/ zoox, one w/o zoox"
3 month,Acer,2,2,1,4mm,dead,2,2,1,1,
3 month,Acer,2,2,1,control,dead,0,4,0,0,
3 month,Acer,2,2,1,2mm,dead,1,2,0.5,1,"large 1 dead, small 1 dying"
3 month,Acer,2,2,2,2mm,dead,0,6,0,0,
3 month,Acer,2,2,2,4mm,dead,6,7,0.9,1,
3 month,Acer,2,2,2,control,dead,0,7,0,0,retracted tissue 1 w/o zoox
3 month,Acer,2,2,3,4mm,dead,0,2,0,0,dying
3 month,Acer,2,2,3,control,dead,0,2,0,0,top dying w/o zoox
3 month,Acer,2,2,3,2mm,dead,0,2,0,0,"no zoox, unwell"
3 month,Acer,2,2,4,2mm,dead,1,3,0.3,0,two dying
3 month,Acer,2,2,4,4mm,dead,2,3,0.7,1,
3 month,Acer,2,2,4,control,dead,0,2,0,0,still alive but barely breathing
3 month,Acer,3,3,1,control,dead,0,5,0,0,
3 month,Acer,3,3,1,2mm,dead,0,5,0,0,
3 month,Acer,3,3,1,4mm,dead,1,2,0.5,1,
3 month,Acer,3,3,2,4mm,dead,1,1,1,1,
3 month,Acer,3,3,2,control,dead,0,1,0,0,
3 month,Acer,3,3,2,2mm,dead,0,1,0,0,
3 month,Acer,3,3,3,4mm,dead,3,3,1,1,
3 month,Acer,3,3,3,control,dead,0,3,0,0,
3 month,Acer,3,3,3,2mm,dead,1,3,0.3,0,
3 month,Acer,3,3,4,control,dead,0,1,0,0,
3 month,Acer,3,3,4,2mm,dead,5,5,1,1,
3 month,Acer,3,3,4,4mm,dead,2,2,1,1,
3 month,Acer,5,5,1,control,dead,0,2,0,0,alive and happy
3 month,Acer,5,5,1,2mm,dead,4,4,1,1,
3 month,Acer,5,5,1,4mm,dead,1,1,1,1,
3 month,Acer,5,5,2,control,dead,1,2,0.5,1,one dead was unhealthy @ day 0 - remove?
3 month,Acer,5,5,2,2mm,dead,3,3,1,1,
3 month,Acer,5,5,2,4mm,dead,2,2,1,1,mouths full of sediment - see photo
3 month,Acer,5,5,3,control,dead,1,3,0.3,0,"two alive, have tissue receding"
3 month,Acer,5,5,3,2mm,dead,3,3,1,1,
3 month,Acer,5,5,3,4mm,dead,2,2,1,1,sediments in mouth of dead polyps
3 month,Acer,5,5,4,control,dead,0,1,0,0,unhealthy - tissue receding
3 month,Acer,5,5,4,2mm,dead,1,1,1,1,
3 month,Acer,5,5,4,4mm,dead,1,1,1,1,seds in mouth of polyp
3 month,Acer,7,7,1,4mm,dead,5,5,1,1,
3 month,Acer,7,7,1,control,dead,0,6,0,0,"two clump - no zoox, unhealthy, other four alive, receded"
3 month,Acer,7,7,1,2mm,dead,7,9,0.8,1,"top 2 alive, rest dead (fresh), mouth still intact"
3 month,Acer,7,7,2,control,dead,0,2,0,0,
3 month,Acer,7,7,2,2mm,dead,2,2,1,1,
3 month,Acer,7,7,2,4mm,dead,1,1,1,1,
3 month,Acer,7,7,3,control,dead,0,1,0,0,no zoox
3 month,Acer,7,7,3,2mm,dead,1,1,1,1,
3 month,Acer,7,7,3,4mm,dead,0,1,0,0,no zoox
3 month,Acer,7,7,4,2mm,dead,3,5,0.6,1,top 2 barely alive
3 month,Acer,7,7,4,4mm,dead,0,3,0,0,"all alive, barely hanging on, no zoox"
3 month,Acer,7,7,4,control,dead,0,4,0,0,"all alive, no zoox"
3 month,Acer,10,10,1,control,dead,0,3,0,0,
3 month,Acer,10,10,1,2mm,dead,3,3,1,1,
3 month,Acer,10,10,1,4mm,dead,3,3,1,1,
3 month,Acer,10,10,2,4mm,dead,2,2,1,1,
3 month,Acer,10,10,2,control,dead,0,2,0,0,
3 month,Acer,10,10,2,2mm,dead,0,5,0,0,
3 month,Acer,10,10,3,2mm,dead,1,7,0.1,0,
3 month,Acer,10,10,3,4mm,dead,3,5,0.6,1,
3 month,Acer,10,10,3,control,dead,1,4,0.3,0,
3 month,Acer,10,10,4,4mm,dead,1,1,1,1,
3 month,Acer,10,10,4,control,dead,0,2,0,0,
3 month,Acer,10,10,4,2mm,dead,2,2,1,1,
