Season,Site,Plot,500m,250m,125m,l125m,Total,Days_out,Sed_rate,per_m2
Summer,South Canyon,11,0.052,0.0356,0.0216,0.0328,0.142,29,0.000244828,2.448275862
Summer,South Canyon,3,0.0678,0.0154,0.0028,0.0108,0.0968,29,0.000166897,1.668965517
Summer,South Canyon,16,0.1577,0.0967,0.0671,0.0366,0.3581,29,0.000617414,6.174137931
Summer,South Canyon,2,0.0959,0.049,0.0331,0.0198,0.1978,29,0.000341034,3.410344828
Summer,South Canyon,4,0.0678,0.0154,0.0028,0.0108,0.0968,29,0.000166897,1.668965517
Summer,South Canyon,14,0.0524,0.0617,0.0351,0.036,0.1852,29,0.00031931,3.193103448
Summer,South Canyon,17,0.006,0.0255,0.0089,0.0122,0.0526,29,9.07E-05,0.906896552
Summer,South Canyon,10,0.1004,0.0423,0.0225,0.0312,0.1964,29,0.000338621,3.386206897
Summer,South Canyon,15,0.1116,0.0238,0.0124,0.0217,0.1695,29,0.000292241,2.922413793
Summer,South Canyon,18,0.1019,0.0461,0.034,0.04,0.222,29,0.000382759,3.827586207
Summer,Ft Lauderdale,4,0.0094,0.0161,0.025,0.02,0.0705,15,0.000235,2.35
Summer,Ft Lauderdale,5,0.0093,0.0183,0.0191,0.0087,0.0554,15,0.000184667,1.846666667
Summer,Ft Lauderdale,6,0.0279,0.0457,0.053,0.0205,0.1471,15,0.000490333,4.903333333
Summer,Ft Lauderdale,8,0.0374,0.0281,0.0135,0.0086,0.0876,15,0.000292,2.92
Summer,Ft Lauderdale,10,0.0374,0.0498,0.0492,0.0193,0.1557,15,0.000519,5.19
Summer,Conch Reef,5,0.0211,0.0513,0.072,0.1339,0.2783,12,0.001159583,11.59583333
Summer,Conch Reef,6,0.0076,0.0204,0.0265,0.0598,0.1143,12,0.00047625,4.7625
Summer,Conch Reef,8,0.0616,0.0599,0.0636,0.0536,0.2387,12,0.000994583,9.945833333
Summer,Conch Reef,10,0.0624,0.0305,0.0846,0.1263,0.3038,12,0.001265833,12.65833333
Summer,Emerald Reef,3,0.0615,0.149,0.0986,0.08789,0.39699,16,0.001240594,12.4059375
Summer,Emerald Reef,4,0.0095,0.0179,0.0255,0.0407,0.0936,16,0.0002925,2.925
Summer,Emerald Reef,5,0.009,0.0288,0.0359,0.0443,0.118,16,0.00036875,3.6875
Summer,Emerald Reef,6,0.0026,0.0108,0.0195,0.0158,0.0487,16,0.000152188,1.521875
Summer,Emerald Reef,7,0.0144,0.0234,0.0182,0.0397,0.0957,16,0.000299063,2.990625
Summer,Emerald Reef,8,0.0179,0.0373,0.0152,0.0127,0.0831,16,0.000259688,2.596875
Summer,Emerald Reef,9,0.0174,0.0512,0.0514,0.0203,0.1403,16,0.000438438,4.384375
Summer,Emerald Reef,10,0.0066,0.0268,0.0186,0.0078,0.0598,16,0.000186875,1.86875
Summer,Carysfort Reef,8,0.0097,0.1166,0.0871,0.0517,0.2651,13,0.001019615,10.19615385
Summer,Carysfort Reef,9,0.0434,0.0356,0.0352,0.0302,0.1444,13,0.000555385,5.553846154
Summer,Carysfort Reef,10,0.0366,0.0172,0.0512,0.0512,0.1562,13,0.000600769,6.007692308
Summer,Dania Beach,1,0.0282,0.031,0.0189,0.0133,0.0914,15,0.000304667,3.046666667
Summer,Dania Beach,2,0.0396,0.0374,0.0078,0.0072,0.092,15,0.000306667,3.066666667
Summer,Dania Beach,3,0.0193,0.0301,0.0103,0.002,0.0617,15,0.000205667,2.056666667
Summer,Dania Beach,4,0.0332,0.0364,0.0022,0.0035,0.0753,15,0.000251,2.51
Summer,Dania Beach,5,0.0797,0.0595,0.0125,0.0059,0.1576,15,0.000525333,5.253333333
Summer,Dania Beach,6,0.0314,0.058,0.0119,0.0055,0.1068,15,0.000356,3.56
Summer,Dania Beach,7,0.0322,0.0457,0.0176,0.0058,0.1013,15,0.000337667,3.376666667
Summer,Dania Beach,8,0.0372,0.0213,0.008,0.0037,0.0702,15,0.000234,2.34
Summer,Dania Beach,9,0.0449,0.0269,0.0094,0.0044,0.0856,15,0.000285333,2.853333333
Summer,Dania Beach,10,0.0097,0.0076,0.007,0.0036,0.0279,15,0.000093,0.93
Summer,Emerald Reef,1,0.1612,0.097,0.0675,0.034,0.3597,16,0.001124063,11.240625
Summer,Emerald Reef,2,0.0735,0.0576,0.0398,0.0491,0.22,16,0.0006875,6.875
Summer,Carysfort Reef,1,0.0179,0.0429,0.0276,0.0282,0.1166,13,0.000448462,4.484615385
Summer,Carysfort Reef,2,0.0674,0.116,0.0563,0.0126,0.2523,13,0.000970385,9.703846154
Summer,Carysfort Reef,3,0.0633,0.0779,0.0291,0.0131,0.1834,13,0.000705385,7.053846154
Summer,Carysfort Reef,4,0.0335,0.0711,0.0416,0.0483,0.1945,13,0.000748077,7.480769231
Summer,Carysfort Reef,5,0.0522,0.0714,0.0146,0.0037,0.1419,13,0.000545769,5.457692308
Summer,Carysfort Reef,6,0.0366,0.0388,0.049,0.162,0.2864,13,0.001101538,11.01538462
Summer,Carysfort Reef,7,0.0258,0.034,0.032,0.0738,0.1656,13,0.000636923,6.369230769
