Days,Population,Scenario,Sed.event
0,540000,0,0
1,540000,0,0
2,540000,0,0
3,540000,0,0
4,540000,0,0
5,540000,0,0
6,540000,0,0
7,540000,0,0
8,540000,0,0
9,540000,0,0
10,540000,0,0
11,540000,0,0
12,540000,0,0
13,540000,0,0
14,540000,0,0
15,540000,0,0
16,540000,0,0
17,540000,0,0
18,540000,0,0
19,540000,0,0
20,540000,0,0
21,540000,0,0
22,540000,0,0
23,540000,0,0
24,540000,0,0
25,540000,0,0
26,540000,0,0
27,540000,0,0
28,540000,0,0
29,540000,0,0
30,540000,0,0
30,540000,0,0
31,530280,0,0
32,520560,0,0
33,510840,0,0
34,501120,0,0
35,491400,0,0
36,481680,0,0
37,471960,0,0
38,462240,0,0
39,452520,0,0
40,442800,0,0
30,540000,0,0
31,530280,0,0
32,520560,0,0
33,510840,0,0
34,501120,0,0
35,491400,0,0
36,481680,0,0
37,471960,0,0
38,462240,0,0
39,452520,0,0
40,442800,0,0
30,540000,0,0
31,530280,0,0
32,520560,0,0
33,510840,0,0
34,501120,0,0
35,491400,0,0
36,481680,0,0
37,471960,0,0
38,462240,0,0
39,452520,0,0
40,442800,0,0
30,540000,0,0
31,530280,0,0
32,520560,0,0
33,510840,0,0
34,501120,0,0
35,491400,0,0
36,481680,0,0
37,471960,0,0
38,462240,0,0
39,452520,0,0
40,442800,0,0
30,540000,0,0
31,530280,0,0
32,520560,0,0
33,510840,0,0
34,501120,0,0
35,491400,0,0
36,481680,0,0
37,471960,0,0
38,462240,0,0
39,452520,0,0
40,442800,0,0
40,442800,0,10
41,434830,0,10
42,426859,0,10
43,418889,0,10
44,410918,0,10
45,402948,0,10
46,394978,0,10
47,387007,0,10
48,379037,0,10
49,371066,0,10
50,363096,0,10
51,363096,0,10
52,363096,0,10
53,363096,0,10
54,363096,0,10
55,363096,0,10
56,363096,0,10
57,363096,0,10
58,363096,0,10
59,363096,0,10
60,363096,0,10
61,363096,0,10
62,363096,0,10
63,363096,0,10
64,363096,0,10
65,363096,0,10
66,363096,0,10
67,363096,0,10
68,363096,0,10
69,363096,0,10
70,363096,0,10
71,363096,0,10
72,363096,0,10
73,363096,0,10
74,363096,0,10
75,363096,0,10
76,363096,0,10
77,363096,0,10
78,363096,0,10
79,363096,0,10
80,363096,0,10
81,363096,0,10
82,363096,0,10
83,363096,0,10
84,363096,0,10
85,363096,0,10
86,363096,0,10
87,363096,0,10
88,363096,0,10
89,363096,0,10
90,363096,0,10
40,442800,25,10
41,418889,25,10
42,394978,25,10
43,371066,25,10
44,347155,25,10
45,323244,25,10
46,299333,25,10
47,275422,25,10
48,251510,25,10
49,227599,25,10
50,203688,25,10
51,203688,25,10
52,203688,25,10
53,203688,25,10
54,203688,25,10
55,203688,25,10
56,203688,25,10
57,203688,25,10
58,203688,25,10
59,203688,25,10
60,203688,25,10
61,203688,25,10
62,203688,25,10
63,203688,25,10
64,203688,25,10
65,203688,25,10
66,203688,25,10
67,203688,25,10
68,203688,25,10
69,203688,25,10
70,203688,25,10
71,203688,25,10
72,203688,25,10
73,203688,25,10
74,203688,25,10
75,203688,25,10
76,203688,25,10
77,203688,25,10
78,203688,25,10
79,203688,25,10
80,203688,25,10
81,203688,25,10
82,203688,25,10
83,203688,25,10
84,203688,25,10
85,203688,25,10
86,203688,25,10
87,203688,25,10
88,203688,25,10
89,203688,25,10
90,203688,25,10
40,442800,50,10
41,402948,50,10
42,363096,50,10
43,323244,50,10
44,283392,50,10
45,243540,50,10
46,203688,50,10
47,163836,50,10
48,123984,50,10
49,84132,50,10
50,44280,50,10
51,44280,50,10
52,44280,50,10
53,44280,50,10
54,44280,50,10
55,44280,50,10
56,44280,50,10
57,44280,50,10
58,44280,50,10
59,44280,50,10
60,44280,50,10
61,44280,50,10
62,44280,50,10
63,44280,50,10
64,44280,50,10
65,44280,50,10
66,44280,50,10
67,44280,50,10
68,44280,50,10
69,44280,50,10
70,44280,50,10
71,44280,50,10
72,44280,50,10
73,44280,50,10
74,44280,50,10
75,44280,50,10
76,44280,50,10
77,44280,50,10
78,44280,50,10
79,44280,50,10
80,44280,50,10
81,44280,50,10
82,44280,50,10
83,44280,50,10
84,44280,50,10
85,44280,50,10
86,44280,50,10
87,44280,50,10
88,44280,50,10
89,44280,50,10
90,44280,50,10
40,442800,75,10
41,387007,75,10
42,331214,75,10
43,275422,75,10
44,219629,75,10
45,163836,75,10
46,108043,75,10
47,52250,75,10
48,0,75,10
49,0,75,10
50,0,75,10
51,0,75,10
52,0,75,10
53,0,75,10
54,0,75,10
55,0,75,10
56,0,75,10
57,0,75,10
58,0,75,10
59,0,75,10
60,0,75,10
61,0,75,10
62,0,75,10
63,0,75,10
64,0,75,10
65,0,75,10
66,0,75,10
67,0,75,10
68,0,75,10
69,0,75,10
70,0,75,10
71,0,75,10
72,0,75,10
73,0,75,10
74,0,75,10
75,0,75,10
76,0,75,10
77,0,75,10
78,0,75,10
